liurui@ubuntu:~$ KERAS_BACKEND=theano python DeepRec/v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000001,0.001,0.001,0.001] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000001,0.001,0.001,0.001]', verbose=1) 
Traceback (most recent call last):
  File "DeepRec/v3_random_train/MLP.py", line 136, in <module>
    train = np.loadtxt(path + 'train_pair_all.txt')
  File "/home/liurui/.local/lib/python2.7/site-packages/numpy/lib/npyio.py", line 896, in loadtxt
    fh = iter(open(fname, 'U'))
Iteration 88 [525.6 s]: NDCG = 0.801756, loss = 0.657412 [318.31 s]
Iteration 89 [524.1 s]: NDCG = 0.801530, loss = 0.657637 [318.16 s]
Iteration 90 [524.9 s]: NDCG = 0.801718, loss = 0.657092 [326.92 s]
Iteration 91 [525.2 s]: NDCG = 0.801885, loss = 0.657324 [324.21 s]
Iteration 92 [529.2 s]: NDCG = 0.801832, loss = 0.657345 [352.02 s]
Iteration 93 [535.9 s]: NDCG = 0.801831, loss = 0.657096 [351.23 s]
Iteration 94 [535.3 s]: NDCG = 0.801734, loss = 0.657262 [351.83 s]
Iteration 95 [527.4 s]: NDCG = 0.801844, loss = 0.657120 [348.53 s]
Iteration 96 [535.7 s]: NDCG = 0.801630, loss = 0.656997 [350.87 s]
Iteration 97 [535.6 s]: NDCG = 0.801830, loss = 0.657034 [350.93 s]
Iteration 98 [529.6 s]: NDCG = 0.801918, loss = 0.657348 [346.21 s]
Iteration 99 [527.1 s]: NDCG = 0.801711, loss = 0.656988 [339.12 s]
End. Best Iteration 31: NDCG = 0.8038. 


liurui@ubuntu:~/DeepRec$ KERAS_BACKEND=theano python v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.0000001,0.001,0.002,0.004] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.0000001,0.001,0.002,0.004]', verbose=1) 
Load data done [145.0 s]. #user=13679, #item=12922, #train=15651858, #test=316795
Init: NDCG = 0.690499 [62.1]
Iteration 0 [91.7 s]: NDCG = 0.710852, loss = 0.894917 [63.02 s]
Iteration 1 [86.7 s]: NDCG = 0.751785, loss = 0.817874 [64.48 s]
Iteration 2 [86.9 s]: NDCG = 0.780424, loss = 0.765643 [79.08 s]
Iteration 3 [90.6 s]: NDCG = 0.788890, loss = 0.732620 [208.77 s]
Iteration 4 [96.0 s]: NDCG = 0.794448, loss = 0.713426 [321.53 s]
Iteration 5 [100.1 s]: NDCG = 0.795618, loss = 0.702101 [386.50 s]
Iteration 6 [104.5 s]: NDCG = 0.796134, loss = 0.692350 [441.69 s]
Iteration 7 [109.5 s]: NDCG = 0.796958, loss = 0.683094 [441.57 s]
Iteration 8 [113.0 s]: NDCG = 0.798199, loss = 0.678020 [445.70 s]
Iteration 9 [114.3 s]: NDCG = 0.798948, loss = 0.675122 [445.80 s]
Iteration 10 [114.9 s]: NDCG = 0.799793, loss = 0.673844 [447.49 s]
Iteration 11 [114.8 s]: NDCG = 0.800363, loss = 0.672734 [447.82 s]
Iteration 12 [115.7 s]: NDCG = 0.800763, loss = 0.671529 [447.33 s]
Iteration 13 [115.2 s]: NDCG = 0.801071, loss = 0.670703 [446.94 s]
Iteration 14 [115.6 s]: NDCG = 0.801496, loss = 0.669896 [442.62 s]
Iteration 15 [114.9 s]: NDCG = 0.801669, loss = 0.669424 [436.68 s]
Iteration 16 [118.9 s]: NDCG = 0.802121, loss = 0.668691 [437.22 s]
Iteration 17 [123.0 s]: NDCG = 0.802431, loss = 0.668369 [431.23 s]
Iteration 18 [127.6 s]: NDCG = 0.802800, loss = 0.667849 [419.78 s]
Iteration 19 [132.5 s]: NDCG = 0.802813, loss = 0.667169 [395.88 s]
Iteration 20 [137.4 s]: NDCG = 0.802882, loss = 0.667190 [372.85 s]
Iteration 21 [147.5 s]: NDCG = 0.803245, loss = 0.666701 [366.56 s]
Iteration 22 [165.2 s]: NDCG = 0.803255, loss = 0.666120 [365.81 s]
Iteration 23 [192.7 s]: NDCG = 0.803295, loss = 0.666020 [365.82 s]
Iteration 24 [227.4 s]: NDCG = 0.803538, loss = 0.665384 [365.77 s]
Iteration 25 [245.3 s]: NDCG = 0.803686, loss = 0.665479 [364.74 s]
Iteration 26 [245.8 s]: NDCG = 0.803595, loss = 0.665165 [362.82 s]
Iteration 27 [245.1 s]: NDCG = 0.803819, loss = 0.665018 [362.25 s]
Iteration 28 [248.9 s]: NDCG = 0.803848, loss = 0.664634 [365.25 s]
Iteration 29 [245.4 s]: NDCG = 0.804149, loss = 0.664465 [362.12 s]
Iteration 30 [247.4 s]: NDCG = 0.804013, loss = 0.664293 [362.06 s]
Iteration 31 [248.2 s]: NDCG = 0.803891, loss = 0.664135 [362.31 s]
Iteration 32 [247.5 s]: NDCG = 0.803933, loss = 0.664008 [361.90 s]
Iteration 33 [240.6 s]: NDCG = 0.804050, loss = 0.663852 [362.13 s]
Iteration 34 [239.5 s]: NDCG = 0.804008, loss = 0.663337 [362.28 s]
Iteration 35 [237.5 s]: NDCG = 0.804075, loss = 0.663257 [362.91 s]
Iteration 36 [236.1 s]: NDCG = 0.804205, loss = 0.663175 [362.50 s]
Iteration 37 [246.3 s]: NDCG = 0.804186, loss = 0.662902 [362.56 s]
Iteration 38 [265.0 s]: NDCG = 0.804182, loss = 0.663041 [362.27 s]
Iteration 39 [290.6 s]: NDCG = 0.804290, loss = 0.662893 [362.28 s]
Iteration 40 [305.9 s]: NDCG = 0.804184, loss = 0.662875 [363.29 s]
Iteration 41 [307.3 s]: NDCG = 0.804248, loss = 0.662504 [363.60 s]
Iteration 42 [307.4 s]: NDCG = 0.804138, loss = 0.662626 [362.64 s]
Iteration 43 [313.4 s]: NDCG = 0.804177, loss = 0.662128 [362.24 s]
Iteration 44 [305.6 s]: NDCG = 0.804276, loss = 0.662156 [362.15 s]
Iteration 45 [301.5 s]: NDCG = 0.804117, loss = 0.661918 [362.15 s]
Iteration 46 [289.7 s]: NDCG = 0.804186, loss = 0.662202 [361.94 s]
Iteration 47 [268.7 s]: NDCG = 0.804158, loss = 0.661669 [362.24 s]
Iteration 48 [247.2 s]: NDCG = 0.804189, loss = 0.661839 [362.36 s]
Iteration 49 [240.7 s]: NDCG = 0.804207, loss = 0.661575 [362.44 s]
Iteration 50 [239.7 s]: NDCG = 0.804181, loss = 0.661395 [362.70 s]
Iteration 51 [234.6 s]: NDCG = 0.804002, loss = 0.661570 [362.67 s]
Iteration 52 [233.6 s]: NDCG = 0.804038, loss = 0.661096 [362.42 s]
Iteration 53 [242.3 s]: NDCG = 0.804150, loss = 0.661354 [362.83 s]
Iteration 54 [265.8 s]: NDCG = 0.804319, loss = 0.661193 [362.13 s]
Iteration 55 [316.0 s]: NDCG = 0.804294, loss = 0.661287 [362.52 s]
Iteration 56 [382.9 s]: NDCG = 0.804297, loss = 0.661234 [362.41 s]
Iteration 57 [415.7 s]: NDCG = 0.804400, loss = 0.661125 [362.03 s]
Iteration 58 [414.3 s]: NDCG = 0.804220, loss = 0.661074 [362.10 s]
Iteration 59 [411.8 s]: NDCG = 0.804294, loss = 0.660925 [361.94 s]
Iteration 60 [415.6 s]: NDCG = 0.804297, loss = 0.660879 [362.10 s]
Iteration 61 [418.2 s]: NDCG = 0.804354, loss = 0.660612 [361.35 s]
Iteration 62 [422.6 s]: NDCG = 0.804213, loss = 0.660774 [361.38 s]
Iteration 63 [434.4 s]: NDCG = 0.804317, loss = 0.660610 [360.37 s]
Iteration 64 [444.4 s]: NDCG = 0.804491, loss = 0.660312 [361.07 s]
Iteration 65 [460.7 s]: NDCG = 0.804368, loss = 0.660624 [361.62 s]
Iteration 66 [496.2 s]: NDCG = 0.804471, loss = 0.660322 [360.42 s]
Iteration 67 [554.4 s]: NDCG = 0.804270, loss = 0.660293 [360.85 s]
Iteration 68 [602.5 s]: NDCG = 0.804275, loss = 0.660334 [383.77 s]
Iteration 69 [638.3 s]: NDCG = 0.804219, loss = 0.660134 [373.70 s]
Iteration 70 [604.7 s]: NDCG = 0.804227, loss = 0.660140 [361.02 s]
Iteration 71 [583.0 s]: NDCG = 0.804196, loss = 0.659955 [361.32 s]
Iteration 72 [545.2 s]: NDCG = 0.804220, loss = 0.659921 [361.86 s]
Iteration 73 [525.4 s]: NDCG = 0.804178, loss = 0.659585 [398.54 s]
Iteration 74 [529.3 s]: NDCG = 0.804422, loss = 0.659640 [394.28 s]
Iteration 75 [530.1 s]: NDCG = 0.804391, loss = 0.659721 [398.81 s]
Iteration 76 [532.6 s]: NDCG = 0.804291, loss = 0.659749 [400.06 s]
Iteration 77 [526.6 s]: NDCG = 0.804427, loss = 0.660056 [374.23 s]
Iteration 78 [530.8 s]: NDCG = 0.804386, loss = 0.659850 [378.79 s]


liurui@ubuntu:~/DeepRec$ KERAS_BACKEND=theano python v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0,0,0,0] --lr 0.00001Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0,0,0,0]', verbose=1) 
Load data done [555.2 s]. #user=13679, #item=12922, #train=15651858, #test=316795
Time: [69.3], Init: NDCG = 
[ 0.5595902   0.56518256  0.57256333  0.58288201  0.59470351  0.60933644
  0.62604618  0.64517868  0.66550665  0.68769883]
Iteration 0 [99.5 s]: loss = 0.692808 [68.54 s], NDCG = 
[ 0.587371    0.58866342  0.59639719  0.60652584  0.6177791   0.63147441
  0.64713017  0.66463375  0.68326196  0.70384562]
Iteration 1 [125.5 s]: loss = 0.687194 [65.78 s], NDCG = 
[ 0.6774106   0.67366121  0.67555743  0.68101216  0.68958391  0.70004316
  0.71262471  0.72676709  0.74200611  0.75816057]
Iteration 2 [96.8 s]: loss = 0.671273 [65.35 s], NDCG = 
[ 0.69406393  0.6906631   0.69263249  0.69843751  0.7065182   0.71657128
  0.72856293  0.74222645  0.75683733  0.77215272]
Iteration 3 [96.4 s]: loss = 0.660526 [68.51 s], NDCG = 
[ 0.69190092  0.68969364  0.69174906  0.69716715  0.70490018  0.71470586
  0.72698437  0.74029751  0.75454512  0.77018923]
Iteration 4 [99.6 s]: loss = 0.656935 [66.29 s], NDCG = 
[ 0.68204357  0.68011525  0.6818065   0.6869959   0.69445722  0.70523966
  0.71751455  0.73108163  0.74588718  0.76189078]
Iteration 5 [91.1 s]: loss = 0.654830 [63.54 s], NDCG = 
[ 0.6718501   0.6684566   0.67084109  0.67572918  0.68327406  0.69478511
  0.70734494  0.72159503  0.73694455  0.75357104]
Iteration 6 [90.8 s]: loss = 0.653200 [63.47 s], NDCG = 
[ 0.66252993  0.65907519  0.66137945  0.66696017  0.67561172  0.68679676
  0.69980861  0.71445186  0.7301349   0.74696249]
Iteration 7 [90.9 s]: loss = 0.652059 [64.02 s], NDCG = 
[ 0.65727896  0.6532534   0.65570641  0.66096851  0.6696859   0.68066267
  0.69471058  0.70923316  0.72511318  0.74259519]
Iteration 8 [91.0 s]: loss = 0.650734 [64.36 s], NDCG = 
[ 0.6493434   0.64545348  0.64845616  0.65471786  0.66326627  0.67467255
  0.68863224  0.70373449  0.72019561  0.73789527]
Iteration 9 [93.7 s]: loss = 0.649742 [72.41 s], NDCG = 
[ 0.64470934  0.64113383  0.64449384  0.65029634  0.65967945  0.67129426
  0.68521356  0.7003066   0.71712959  0.73497209]
Iteration 10 [99.2 s]: loss = 0.648783 [73.87 s], NDCG = 
[ 0.63947284  0.63671855  0.64003407  0.64607338  0.65582679  0.66762535
  0.68154216  0.69697802  0.71383713  0.731805  ]
Iteration 11 [99.1 s]: loss = 0.648074 [73.91 s], NDCG = 
[ 0.63456995  0.63198011  0.63546163  0.6424346   0.65204642  0.66385764
  0.67767358  0.69343223  0.71086437  0.72892816]
Iteration 12 [99.3 s]: loss = 0.646921 [74.03 s], NDCG = 
[ 0.62861875  0.62762621  0.63153586  0.63893734  0.6487785   0.66068589
  0.67469384  0.69086339  0.70806784  0.72653829]
Iteration 13 [99.6 s]: loss = 0.646205 [74.07 s], NDCG = 
[ 0.62396394  0.62332373  0.62819983  0.63527777  0.64485084  0.65688287
  0.67135367  0.6879702   0.7049499   0.72373281]
Iteration 14 [99.0 s]: loss = 0.644416 [74.34 s], NDCG = 
[ 0.61966853  0.62049637  0.62499831  0.63262114  0.64227771  0.65459552
  0.66925621  0.68588121  0.70309733  0.72194839]
Iteration 15 [99.1 s]: loss = 0.643586 [74.55 s], NDCG = 
[ 0.61658775  0.61671619  0.62142889  0.62970506  0.63880829  0.65156486
  0.66647994  0.68321395  0.7008734   0.71953068]
Iteration 16 [99.4 s]: loss = 0.642117 [74.47 s], NDCG = 
[ 0.61310325  0.61318369  0.61823501  0.62652332  0.63611013  0.64879543
  0.66367435  0.6805419   0.69824098  0.71737715]
Iteration 17 [99.2 s]: loss = 0.640762 [74.90 s], NDCG = 
[ 0.61028816  0.60972977  0.61517678  0.62363373  0.63333004  0.64663591
  0.66184254  0.67872044  0.6964477   0.71579212]
Iteration 18 [99.7 s]: loss = 0.638669 [74.19 s], NDCG = 
[ 0.60646471  0.6063404   0.61268664  0.62134214  0.63164929  0.64472772
  0.65985769  0.67674606  0.69463675  0.71404851]
Iteration 19 [99.2 s]: loss = 0.637016 [74.07 s], NDCG = 
[ 0.60226456  0.6035049   0.60948862  0.61808154  0.6284706   0.64210142
  0.65722748  0.67423561  0.69224527  0.71198102]
Iteration 20 [100.5 s]: loss = 0.635094 [72.56 s], NDCG = 
[ 0.59766289  0.59990153  0.60643935  0.61454034  0.62582226  0.63954967
  0.65465523  0.672038    0.690218    0.71002645]


